Concept,SuperClass,DisjointClass,Label,Definition,Requirement,ISO 19111,IGN 2019,Proj4RDF,GeoSPARQL,Core Class?
,,,,,,,,geocrs:ArtificialSatellite,,Astronomy
,,,,,,,,geocrs:Asteroid,,Astronomy
,,,,,,,,geocrs:Comet,,Astronomy
,,,,,,,,geocrs:DwarfPlanet,,Astronomy
,,,,,,,,geocrs:InterstellarBody,,Astronomy
,,,,,,,,geocrs:Moon,,Astronomy
,,,,,,,,geocrs:NaturalSatellite,,Astronomy
,,,,,,,,geocrs:Planet,,Astronomy
,,,,,,,,geocrs:PlanetStatus,,Astronomy
,,,,,,,,geocrs:Plutoid,,Astronomy
,,,,,,,,geocrs:Star,,Astronomy
