Concept,Property,Class,MinCount,MaxCount,Comment
geosrs:1DCoordinateSystem,geosrs:axis,geosrs:CoordinateSystemAxis,1,,"A 1D coordinate system should have at least one axes"
geosrs:3DCoordinateSystem,geosrs:axis,geosrs:CoordinateSystemAxis,3,,"A 3D coordinate system should have at least three axes"
geosrs:ConicalCoordinateSystem,geosrs:axis,geosrs:CoordinateSystemAxis,3,,"A conical coordinate system should have at least three axes"
geosrs:CoordinateSystem,geosrs:axis,geosrs:CoordinateSystemAxis,1,,"A coordinate system should have at least one axis"
geosrs:CoordinateSystemAxis,geosrs:axisDirection,geosrs:AxisDirection,1,1,"A coordinate system axis should have exactly one axis direction"
geosrs:CylindricalCoordinateSystem,geosrs:axis,geosrs:CoordinateSystemAxis,3,,"A cylindrical coordinate system should have at least three axes"
geosrs:DateTimeTemporalCoordinateSystem,geosrs:axis,geosrs:CoordinateSystemAxis,1,1,"A date time temporal coordinate system should have exactly one axis"
geosrs:PlanarCoordinateSystem,geosrs:axis,geosrs:CoordinateSystemAxis,2,,"A planar coordinate system should have at least two axes"
geosrs:TemporalCoordinateSystem,geosrs:axis,geosrs:CoordinateSystemAxis,1,1,"A temporal coordinate system should have exactly one axis"
geosrs:TemporalCountCoordinateSystem,geosrs:axis,geosrs:CoordinateSystemAxis,1,1,"A temporal count coordinate system should have exactly one axis"
geosrs:TemporalMeasureCoordinateSystem,geosrs:axis,geosrs:CoordinateSystemAxis,1,1,"A temporal measure coordinate system should have exactly one axis"


